uuid, protocol, protocol_response, protocol_estimated_error, l2_error, linf_error
51c128e1-cbb4-4952-9c19-595aa8664f23,ProtGauss,[8.74815644 0.         0.         1.62938028 2.73502779],7.077091034524144,8.829708457763568,8.425453997075941
51c128e1-cbb4-4952-9c19-595aa8664f23,ProtRejSamp,[ 0.          7.389434    0.          0.         10.49584381],10.051275488238351,12.301572081821199,10.061704728834052
51c128e1-cbb4-4952-9c19-595aa8664f23,ProtAdSamp,[ 0.          4.9554735  -1.88307993  0.69743701  2.69011418],5.341839933703695,5.683776074233108,4.595086786416438
51c128e1-cbb4-4952-9c19-595aa8664f23,Real,[0.32270244 0.36038671 0.55907429 0.51630126 0.43413909],NA,NA
e8138146-5fc0-48fa-9e24-657001c912c4,ProtGauss,[0.         6.11072384 0.         1.76257957 0.        ],7.728479192640656,5.679487715089689,5.4770804370388895
e8138146-5fc0-48fa-9e24-657001c912c4,ProtRejSamp,[ 0.          0.         13.10821576  2.66706544  0.        ],10.976412920421385,12.769423172601611,12.555357166260665
e8138146-5fc0-48fa-9e24-657001c912c4,ProtAdSamp,[ 9.10858363 -1.14814079 -1.50141488  8.67484155  3.25306558],5.53689368800778,12.49218100610694,8.595832406622886
e8138146-5fc0-48fa-9e24-657001c912c4,Real,[0.51275122 0.6336434  0.55285859 0.51929981 0.37928827],NA,NA
1946e975-77ce-4589-808e-d89b0e1e643b,ProtGauss,[ 0.         14.98315692  4.22205673  0.          7.03942265],9.597275291895565,16.340435159125864,14.483139427746542
1946e975-77ce-4589-808e-d89b0e1e643b,ProtRejSamp,[ 0.5749029   0.56090942  1.97739658  0.         21.2314848 ],13.630580336570684,20.817418499070694,20.759665871070375
1946e975-77ce-4589-808e-d89b0e1e643b,ProtAdSamp,[-0.73210022 -4.39260129 -6.58890194  5.64763023  3.95334116],5.607333861561904,10.681736593781327,7.155450247122999
1946e975-77ce-4589-808e-d89b0e1e643b,Real,[0.58780462 0.50001749 0.56654831 0.63782345 0.47181893],NA,NA
4537b392-b0ae-4f6d-864d-b0c426f777c7,ProtGauss,[ 0.          2.33050749 10.8681471   1.06557025  0.        ],8.803822659497511,10.583916022509257,10.374948304070825
4537b392-b0ae-4f6d-864d-b0c426f777c7,ProtRejSamp,[13.02474446  0.          0.88965145  1.92890263  0.        ],12.503675093131633,12.639667674574612,12.527861845504798
4537b392-b0ae-4f6d-864d-b0c426f777c7,ProtAdSamp,[-12.05691829   0.98070627  -2.07037991  -1.43333994   0.        ],5.285847992251773,12.959737855134957,12.553800902832961
4537b392-b0ae-4f6d-864d-b0c426f777c7,Real,[0.49688262 0.44270384 0.49319879 0.40166535 0.358136  ],NA,NA
8e03c078-f873-49ef-bcf5-d380d1813489,ProtGauss,[11.70780021  0.          0.          0.          3.8275278 ],8.106355986410275,11.860282444251892,11.363598800665546
8e03c078-f873-49ef-bcf5-d380d1813489,ProtRejSamp,[12.34750706  0.          0.          0.          1.43793883],11.513094409505277,12.061407681426253,12.003305647879335
8e03c078-f873-49ef-bcf5-d380d1813489,ProtAdSamp,[-2.83746874 -8.17858636  4.31788721 -3.13614966  5.95868435],5.634446261701692,11.962028937461008,8.640876670100871
8e03c078-f873-49ef-bcf5-d380d1813489,Real,[0.34420141 0.46229031 0.34885001 0.45267394 0.51171725],NA,NA
54ae279c-3c09-4333-9415-09b9389a3031,ProtGauss,[0.93499586 0.         1.81583654 1.93037    0.        ],11.350812988512766,2.1132258367909436,1.376972667852883
54ae279c-3c09-4333-9415-09b9389a3031,ProtRejSamp,[  3.84381349 -18.64596012  -5.53425726  -9.77207421  -0.13536679],16.121051404659116,22.79897120439588,19.114194132010596
54ae279c-3c09-4333-9415-09b9389a3031,ProtAdSamp,[8.57254655 3.70418678 0.         8.00104345 0.        ],5.6742537513401174,11.480861730828915,8.081094136749403
54ae279c-3c09-4333-9415-09b9389a3031,Real,[0.49145242 0.46823401 0.47109063 0.55339733 0.58766849],NA,NA
07090ec0-2392-4197-8c5a-405dc920a5e7,ProtGauss,[1.11558223 0.         1.77946043 0.         3.67484467],11.326757405886134,3.576453133953341,3.187797753478346
07090ec0-2392-4197-8c5a-405dc920a5e7,ProtRejSamp,[-14.194254    14.91867426  -3.7983932    0.11490682  -3.0376383 ],16.086886337849766,21.314359649511136,14.678879478467167
