uuid, epsilon, delta, n_categories, n_queries, n_users
694e0087-31da-4df1-85d5-1c2a234c2d6b,0.1,0.0001,10,5,100
a7468d61-7e46-40a3-bf42-9ef6871b7a1f,0.1,0.0001,10,5,100
e474e97d-da2c-4816-a93a-efa0bb718edc,0.1,0.0001,10,5,100
faf4ea75-9490-4110-bc34-5fd6722d6de7,0.1,0.0001,10,5,100
d6ddf6ac-d87d-4bfb-b8cb-aad991a2a141,0.1,0.0001,10,5,100
de0ca2b0-2f6a-4952-b7be-db8ff173a502,0.1,0.0001,100,5,100
44a67772-ebd9-4b9e-bad7-0ca05eebc8ce,0.1,0.0001,100,5,100
6923a20c-011f-42ea-be1a-2f6c37ab8ed1,0.1,0.0001,100,5,100
0e73fc1c-e42d-490b-9e67-942eac4d6240,0.1,0.0001,100,5,100
4ae30cc8-6deb-4bf3-87aa-ec56a7845251,0.1,0.0001,100,5,100
ba7e8e48-be14-4e69-9895-34f4e8f36f4a,0.1,0.0001,1000,5,100
74cc0522-6510-4a71-9090-7501fb122f73,0.1,0.0001,1000,5,100
6a78fd63-6135-41f7-8f5b-7f0c46f4f5d8,0.1,0.0001,1000,5,100
5112d75c-07fe-4773-a67b-399acc9733f5,0.1,0.0001,1000,5,100
e33cb0e6-6d2f-4bdd-8147-2f7078837459,0.1,0.0001,1000,5,100
07af43cd-cc4b-436d-90ef-1970e840882f,0.1,0.001,10,5,100
72cc94f8-2542-40af-9173-e110acbd748c,0.1,0.001,10,5,100
74adae3b-1409-4b85-9b95-900378bb4fdf,0.1,0.001,10,5,100
ca034aa0-4252-4340-b431-d457f8a8b9b7,0.1,0.001,10,5,100
11786205-f57d-47b0-a397-4bad0d5e5879,0.1,0.001,10,5,100
5bb23ccc-7d4a-4f25-a6ee-34c13c1e33bb,0.1,0.001,100,5,100
24b687fd-ed4b-4d9c-bf69-b9a52413dca1,0.1,0.001,100,5,100
581230f0-3232-402f-ac39-74c8ee897fca,0.1,0.001,100,5,100
95a5c131-5314-43ed-ac20-c3e6dba61723,0.1,0.001,100,5,100
23aa6454-62ef-47de-8918-1ae2cf92d78a,0.1,0.001,100,5,100
e6f0a115-7465-4603-8c05-eecfec2633d1,0.1,0.001,1000,5,100
6ece85a7-396c-4136-9c22-a2d5683cf61e,0.1,0.001,1000,5,100
a86e4c6d-487e-4c00-8b88-991478f4e32b,0.1,0.001,1000,5,100
bbbdc4d2-66cb-4357-bc04-99be6b835df6,0.1,0.001,1000,5,100
a64300d2-5f56-43b8-b217-379f20226625,0.1,0.001,1000,5,100
b3747449-690e-4772-a0f4-9415cd085911,0.1,0.01,10,5,100
9786a647-5656-4ab4-9257-c7b9046edb9f,0.1,0.01,10,5,100
4429a565-8af3-4a29-ae43-7513c7403059,0.1,0.01,10,5,100
e8fc6455-5d4b-44e4-aeb0-c6c96adfa9d5,0.1,0.01,10,5,100
246b16bf-2bcc-42ea-b5f0-ec3548bb64f0,0.1,0.01,10,5,100
7d9c183b-d4a0-46d6-9384-1f5e8e6bc840,0.1,0.01,100,5,100
ec91d644-dba5-4003-bf80-9af49ae8b1e9,0.1,0.01,100,5,100
0a3c1951-da94-44bb-bc53-d409d805fedb,0.1,0.01,100,5,100
dd4eaced-e56d-4468-b937-c859899b1e79,0.1,0.01,100,5,100
72106ff5-7034-4752-a871-b0e42ca34d90,0.1,0.01,100,5,100
234b4ad4-dc81-4458-88d4-6facbe0279eb,0.1,0.01,1000,5,100
01d57c8a-47eb-4b71-8f70-932fd32ae94a,0.1,0.01,1000,5,100
db773414-0042-4727-8742-f20612d7af58,0.1,0.01,1000,5,100
e07b13ae-c5a5-425c-94d7-7c8c2014d1fc,0.1,0.01,1000,5,100
d25a65a8-3a28-4256-9dec-f9a46369cdb8,0.1,0.01,1000,5,100
660590bc-e404-4c20-948f-a0916eba9f79,0.2,0.0001,10,5,100
5bef0d9d-e43b-45da-9de3-0066dd738d30,0.2,0.0001,10,5,100
64d9b2c9-501e-4ad2-96ce-246bb59722a4,0.2,0.0001,10,5,100
7c58c9e8-06eb-455b-89a5-76fc7f9eb05f,0.2,0.0001,10,5,100
f7804646-c147-4bc2-adb2-fb14b13263d7,0.2,0.0001,10,5,100
fa879f44-5139-4b54-be20-f1887c75641f,0.2,0.0001,100,5,100
f812f244-7ab6-4a74-a354-5f513c09d0b4,0.2,0.0001,100,5,100
df45173a-d250-46ac-a29f-8b5046c3a6dc,0.2,0.0001,100,5,100
8ebd96ee-3d59-4545-81c6-e431efe0d814,0.2,0.0001,100,5,100
8cfbe36e-2455-4bd3-b925-31e275562a6f,0.2,0.0001,100,5,100
074f8146-e0bc-4fb2-87eb-733beebf975c,0.2,0.0001,1000,5,100
0a09e615-5bac-4f91-bc65-a913ae71a3d3,0.2,0.0001,1000,5,100
96c90ac0-17f0-4146-af0a-e9c0d97aff52,0.2,0.0001,1000,5,100
5a97263f-8c95-4c4c-b953-96f72ce43c45,0.2,0.0001,1000,5,100
6d6da967-e871-40da-a5ea-e4aab6e00c10,0.2,0.0001,1000,5,100
f477ecd8-759a-4b31-abca-a2395b38f643,0.2,0.001,10,5,100
6f3aaf17-7d0b-4e6f-a696-5b887b4a7ef2,0.2,0.001,10,5,100
f737c068-578c-48a9-95c8-cb627311a415,0.2,0.001,10,5,100
